season_id,season_label,anime_title,is_rerun,kind,index,song_title,artist,youtube_url,youtube_views,youtube_channel,anime_youtube_url,anime_youtube_views,anime_youtube_channel,last_searched_at
5806,2026夏アニメ,グロウアップショウ ～ひまわりのサーカス団～,False,OP,1,ユラリユレル,NOMELON NOLEMON,https://www.youtube.com/watch?v=QxJWmZ74GfM,176842,アニプレックス チャンネル,https://www.youtube.com/watch?v=QxJWmZ74GfM,176842,アニプレックス チャンネル,2026-07-15T09:02:46
5806,2026夏アニメ,グロウアップショウ ～ひまわりのサーカス団～,False,ED,1,DAYS!,Aooo,https://www.youtube.com/watch?v=Z3LKxdlyNSU,31116,アニプレックス チャンネル,https://www.youtube.com/watch?v=Z3LKxdlyNSU,31116,アニプレックス チャンネル,2026-07-15T09:02:56
5806,2026夏アニメ,攻殻機動隊 THE GHOST IN THE SHELL,False,OP,1,GO GHOST,King Gnu,https://www.youtube.com/watch?v=FhzaLI_Npg8,1336939,Ghost in the Shell Official Channel,https://www.youtube.com/watch?v=FhzaLI_Npg8,1336939,Ghost in the Shell Official Channel,2026-07-17T09:01:21
5806,2026夏アニメ,攻殻機動隊 THE GHOST IN THE SHELL,False,ED,1,Blue,"MILLENNIUM PARADE feat. Saya Gray, Daniel Caesar",https://www.youtube.com/watch?v=FhzaLI_Npg8,1155754,Ghost in the Shell Official Channel,https://www.youtube.com/watch?v=IwnUKgmV5QQ,200386,Ghost in the Shell Official Channel,2026-07-15T09:03:06
5806,2026夏アニメ,コードギアス 奪還のロゼ TV放送,False,OP,1,Running In My Head,MIYAVI,https://www.youtube.com/watch?v=5zRfzTVcHKU,1820646,コードギアスチャンネル CODEGEASS Channel,https://www.youtube.com/watch?v=5zRfzTVcHKU,1820646,コードギアスチャンネル CODEGEASS Channel,2026-07-15T09:03:15
5806,2026夏アニメ,コードギアス 奪還のロゼ TV放送,False,ED,1,ロゼ (Prod.TeddyLoid),満島ひかり,https://www.youtube.com/watch?v=5zRfzTVcHKU,1820685,コードギアスチャンネル CODEGEASS Channel,https://www.youtube.com/watch?v=H8H9p9jNERo,410710,Lantis Channel,2026-07-15T09:03:24
5806,2026夏アニメ,ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。,False,OP,1,それでも曇天を越えてゆく,sajou no hana,https://www.youtube.com/watch?v=lMq8obidFDI,7262,GREE Entertainment ANIME & GAME【公式】,https://www.youtube.com/watch?v=lMq8obidFDI,7262,GREE Entertainment ANIME & GAME【公式】,2026-07-11T09:01:36
5806,2026夏アニメ,ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。,False,ED,1,在り来たりな日常と幸運な日々へ,名称非公開,https://www.youtube.com/watch?v=UDD-U-c-m9Y,2391,GREE Entertainment ANIME & GAME【公式】,https://www.youtube.com/watch?v=UDD-U-c-m9Y,2391,GREE Entertainment ANIME & GAME【公式】,2026-07-14T09:02:21
5806,2026夏アニメ,これ描いて死ね,False,OP,1,遺書,キタニタツヤ,https://www.youtube.com/watch?v=bcEDagHXQEU,374803,キタニタツヤ / Tatsuya Kitani,https://www.youtube.com/watch?v=ZcX905vF0j0,87162,VAP Official,2026-07-15T09:03:33
5806,2026夏アニメ,これ描いて死ね,False,ED,1,コニファー,リーガルリリー,https://www.youtube.com/watch?v=jI61NtGuxV4,83509,VAP Official,https://www.youtube.com/watch?v=BHS-_AXCWrc,12780,VAP Official,2026-07-15T09:03:42
