season_id,season_label,order,title,is_rerun,broadcast_format,broadcast_start,animation_studio,op_title,op_artist,ed_title,ed_artist,detail_url
5947,2026秋アニメ,25,しろたん,False,TVアニメ,2026年10月～ テレビ朝日にて,レスプリ,,,,,https://www.animatetimes.com/tag/details.php?id=27989
5947,2026秋アニメ,26,信者ゼロの女神サマと始める異世界攻略,False,TVアニメ,2026年10月～,HORNETS,,,,,https://www.animatetimes.com/tag/details.php?id=27418
5947,2026秋アニメ,27,新テニスの王子様 U-17 WORLD CUP 決勝メンバー決定戦,False,TVアニメ,2026年秋,,Walls And Bridges,青酢（越前リョーマ、⼿塚国光、⼤⽯秀⼀郎、不⼆周助）,金環蝕 phenomenal,跡部景吾＆忍足侑士,https://www.animatetimes.com/tag/details.php?id=26829
5947,2026秋アニメ,28,スティール・ボール・ラン ジョジョの奇妙な冒険 2nd & 3rd STAGE,False,配信,1st STAGE：2026年3月19日（木）～ 2nd&3rd STAGE：2026年9月25日（金）～ Netflixにて,david production,,,,,https://www.animatetimes.com/tag/details.php?id=25812
5947,2026秋アニメ,29,生徒会にも穴はある！,False,TVアニメ,2026年10月～,,,,,,https://www.animatetimes.com/tag/details.php?id=25874
5947,2026秋アニメ,30,世界最強の魔女、始めました,False,TVアニメ,2026年10月～,ブリッジ,,,,,https://www.animatetimes.com/tag/details.php?id=28288
5947,2026秋アニメ,31,#ゾンビさがしてます,False,TVアニメ,2026年10月〜 テレビ朝日系にて,,,,,,https://www.animatetimes.com/tag/details.php?id=26825
5947,2026秋アニメ,32,ダイヤのA actⅡ -Second Season- 第2クール,False,TVアニメ,第1クール：2026年4月5日（日）～2026年6月28日（日） 第2クール：2026年10月～ テレビ東京ほか,OLM,Let's Go Crazy,Baby Canta,NUMBER,SUPER★DRAGON,https://www.animatetimes.com/tag/details.php?id=24072
5947,2026秋アニメ,33,タヌキとキツネ,False,TVアニメ,2026年10月～,,,,,,https://www.animatetimes.com/tag/details.php?id=6380
5947,2026秋アニメ,34,TANK CHAIR-戦車椅子-,False,TVアニメ,2026年秋,ポリゴン・ピクチュアズ,,,,,https://www.animatetimes.com/tag/details.php?id=27965
5947,2026秋アニメ,35,探偵はもう、死んでいる。Season2,False,TVアニメ,2026年10月〜,ENGI,,,,,https://www.animatetimes.com/tag/details.php?id=16348
5947,2026秋アニメ,36,千歳くんはラムネ瓶のなか 第2クール,False,TVアニメ,第1クール：2025年10月7日（火）～ 2025年12月30日（火） AT-X・TOKYO MXほか 第2クール：2026年10月〜,feel.,ライアー,Kucci,陽炎,サイダーガール,https://www.animatetimes.com/tag/details.php?id=25058
5947,2026秋アニメ,37,超巡！超条先輩,False,TVアニメ,2026年10月～ カンテレ・フジテレビ系全国ネットにて,アルボアニメーション,,,,,https://www.animatetimes.com/tag/details.php?id=26933
5947,2026秋アニメ,38,追放されたチート付与魔術師は気ままなセカンドライフを謳歌する。,False,TVアニメ,2026年10月～ テレ東系列にて,P.A.WORKS,,,,,https://www.animatetimes.com/tag/details.php?id=27631
5947,2026秋アニメ,39,てつりょー！meet with 鉄道むすめ,False,TVアニメ,2026年10月～,イーストフィッシュスタジオ,,,わたし未来線,てつりょー会（橘めい・庄子真央・福嶋晴菜・月城日花）,https://www.animatetimes.com/tag/details.php?id=26895
5947,2026秋アニメ,40,テムパル～アイテムの力～,False,TVアニメ,2026年10月～,J.C.STAFF,,,,,https://www.animatetimes.com/tag/details.php?id=28478
5947,2026秋アニメ,41,デモンズ・クレスト,False,配信,2026年11月6日（金） Prime Videoにて,Production I.G,シンカ,Ado,,,https://www.animatetimes.com/tag/details.php?id=27189
5947,2026秋アニメ,42,転生貴族、鑑定スキルで成り上がる 第3期,False,TVアニメ,2026年秋 CBC/TBS系全国28局ネット「アガルアニメ」にて,studio MOTHER,,,,,https://www.animatetimes.com/tag/details.php?id=25385
5947,2026秋アニメ,43,転生ゴブリンだけど質問ある？,False,TVアニメ,2026年10月～,BAKKKA,,,,,https://www.animatetimes.com/tag/details.php?id=27909
5947,2026秋アニメ,44,転生した大聖女は、聖女であることをひた隠す,False,TVアニメ,2026年10月～,FelixFilm,Flare of Soul,花耶,STELLAR,ウタヒメドリーム オールスターズ,https://www.animatetimes.com/tag/details.php?id=25630
5947,2026秋アニメ,45,転生したら剣でした 第2期,False,TVアニメ,2026年10月～,C2C,,,,,https://www.animatetimes.com/tag/details.php?id=19149
5947,2026秋アニメ,46,とある暗部の少女共棲,False,TVアニメ,2026年10月9日（金）～ TOKYO MXほか,J.C.STAFF,Ghost Sequence,East Of Eden,原子崩し(メルトダウナー),岸田教団&THE明星ロケッツ,https://www.animatetimes.com/tag/details.php?id=25552
5947,2026秋アニメ,47,東京リベンジャーズ 三天戦争編,False,TVアニメ,2026年10月2日（金）～ MBS・TBS・CBC”アニメイズム”枠ほか,ライデンフィルム,IGNITE,JO1,,,https://www.animatetimes.com/tag/details.php?id=24207
5947,2026秋アニメ,48,桃源暗鬼 ～日光・華厳の滝編～,False,TVアニメ,2026年10月～ 日本テレビ系「FRIDAY ANIME NIGHT（フラアニ）」枠にて,,,,,,https://www.animatetimes.com/tag/details.php?id=27376
5947,2026秋アニメ,49,どうも、好きな人に惚れ薬を依頼された魔女です。,False,TVアニメ,2026年10月～,ディオメディア,,,,,https://www.animatetimes.com/tag/details.php?id=27581
5947,2026秋アニメ,50,ドラゴンボール超 ビルス,False,TVアニメ,2026年秋 フジテレビにて,,,,,,https://www.animatetimes.com/tag/details.php?id=27491
